"","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj"
"SLC25A35",0.0782587040006923,-0.981056866451083,0.015,0.041,1
"MECP2",0.0783025145968703,-0.38814493726601,0.161,0.218,1
"UBE2J2",0.0783395673591666,-0.511115366363031,0.171,0.226,1
"GATAD1",0.0784233575162861,-0.364963574133574,0.05,0.09,1
"PGM2",0.0784892684607657,-0.250120277098715,0.055,0.097,1
"CASC5",0.0786134775651988,0.722111045194993,0.03,0.013,1
"SMARCA5",0.0786292220973607,0.400346710906225,0.382,0.334,1
"SVBP",0.078642093721286,-0.223110374663623,0.181,0.248,1
"EPM2A",0.0786611667845016,1.47863015896558,0.025,0.01,1
"HHAT",0.0786863719062063,1.21252515728285,0.02,0.007,1
"CFL2",0.0786991098284989,0.686506285862803,0.045,0.023,1
"FEM1B",0.0787672199295104,-0.71671471896312,0.06,0.101,1
"FADS2",0.0788387759497633,-1.46318340186301,0.005,0.025,1
"TRIM44",0.078891076795954,0.535930687431008,0.317,0.281,1
"DLGAP4",0.0789301510898163,-0.257122727684858,0.101,0.153,1
"SNRPB2",0.0790389933729776,-0.285105172280583,0.327,0.399,1
"DLGAP4-AS1",0.0790576670423901,1.30057313514403,0.025,0.01,1
"STK11",0.0790925299185342,-0.817083972732557,0.05,0.088,1
"RP11-474G23.3",0.0791417394126861,-1.16430797285492,0.005,0.025,1
"PITHD1",0.079219296695275,0.292334787315407,0.377,0.329,1
"ASPHD2",0.0792906647420436,-1.26328183148817,0.01,0.033,1
"PRKDC",0.079332308697815,-0.246334845418237,0.171,0.234,1
"POC1B-GALNT4",0.0799293514326149,0.583843595944675,0.07,0.042,1
"TNFRSF18",0.0800500150015926,-1.40192672942738,0.04,0.073,1
"TMC6",0.0800548954793344,-0.204345812359556,0.377,0.464,1
"ZNF768",0.0800560328948929,1.2697602062543,0.025,0.01,1
"SMARCAD1",0.0800814772543559,0.757549146428509,0.106,0.07,1
"UBR5",0.0801594796770328,0.544554752412842,0.206,0.163,1
"PTRH1",0.0803152916961574,-0.913326691624888,0.045,0.081,1
"CDKN2A",0.0804977389408495,1.03237485209,0.05,0.027,1
"TBC1D10C",0.0806054738723907,0.160006338891528,0.643,0.584,1
"LSM14B",0.0806251602245563,-0.88751271508464,0.025,0.055,1
"ATP5G1",0.0806511189477427,-0.202252153789686,0.327,0.411,1
"ZNF835",0.0806599538418961,1.2048876141639,0.025,0.01,1
"KLHL42",0.0806857732056678,-1.52883391651593,0.025,0.054,1
"SIRT7",0.0806912490362931,-0.48575713353522,0.191,0.248,1
"GRAMD4",0.0807353318855032,-0.625893526055374,0.015,0.041,1
"SLC38A5",0.0807402331145898,-1.86875400887143,0.015,0.04,1
"NDUFAF7",0.0807998424345309,0.867002823201149,0.095,0.063,1
"RP11-244H3.4",0.0809743219536251,1.54297213570377,0.04,0.02,1
"GS1-124K5.4",0.0809743219536251,1.37162158944235,0.04,0.02,1
"MAU2",0.080995903422863,0.61032810596135,0.166,0.123,1
"DYRK2",0.0811033626857007,-0.70293423970069,0.06,0.1,1
"AGBL2",0.0811090446414748,0.458691896784566,0.03,0.013,1
"GALNT2",0.0811358115693109,0.679109731281406,0.176,0.134,1
"IL17RC",0.0811485602743672,-1.19962177653187,0.01,0.033,1
"BOLA2B",0.0811485602743672,-0.749130741836804,0.01,0.033,1
"GRK6",0.081243260329195,-0.285508830456901,0.392,0.472,1
"NUDCD1",0.0812681836657522,0.969439347185466,0.085,0.055,1
"LRPPRC",0.0812915451110469,0.470801858412998,0.241,0.195,1
"CCDC6",0.08131490927312,0.812259299163717,0.136,0.099,1
"UBA6",0.0814470043641991,0.573457230853332,0.136,0.095,1
"RAB30-AS1",0.081514113961763,0.840646172566946,0.095,0.063,1
"INO80D",0.0815872363599127,0.720804841112664,0.141,0.103,1
"KRAS",0.081615116836658,-0.276602583042245,0.226,0.3,1
"C7orf50",0.081630333919295,0.437811659047614,0.327,0.282,1
"RNF2",0.0816352066238608,0.751473046158676,0.146,0.108,1
"PCGF1",0.0816789535993343,-0.406302769386563,0.05,0.089,1
"ZDBF2",0.0817224581668771,1.17357855477395,0.04,0.02,1
"MIA3",0.0817654153310038,0.392185191009067,0.281,0.232,1
"ADAM9",0.0818331040282427,-1.67820289336506,0.015,0.04,1
"PAFAH2",0.0818909537225986,-1.10131303719597,0.03,0.061,1
"MTCH1",0.081998388882188,-0.282716955554445,0.291,0.368,1
"RP11-80H18.3",0.0820436165714779,-1.24729593902097,0.025,0.054,1
"ST13",0.082074447256885,0.182705447542979,0.658,0.624,1
"TIMM23",0.0821533795183197,-0.590765866489993,0.09,0.136,1
"BPTF",0.0821605096550989,0.282749915424133,0.397,0.359,1
"PSMD7",0.0822886708879921,-0.198067910946676,0.317,0.416,1
"IK",0.0823703367658176,-0.380578783113519,0.317,0.385,1
"MID1IP1",0.0824801010212069,-0.397072682065736,0.126,0.181,1
"RP11-54O7.17",0.0824939448265104,-2.28108264883482,0,0.015,1
"AZIN2",0.0824939448265104,-2.51589405026624,0,0.015,1
"PIK3R3",0.0824939448265104,-2.77509178894342,0,0.015,1
"ZFYVE9",0.0824939448265104,-2.67982472047768,0,0.015,1
"AMIGO1",0.0824939448265104,-2.69593963023395,0,0.015,1
"RGL1",0.0824939448265104,-2.14666991627246,0,0.015,1
"SHISA4",0.0824939448265104,-2.10224010103405,0,0.015,1
"AC133644.2",0.0824939448265104,-2.58720735054096,0,0.015,1
"TNK2-AS1",0.0824939448265104,-2.31461094960041,0,0.015,1
"GUCY1A3",0.0824939448265104,-2.29727811748388,0,0.015,1
"GCNT4",0.0824939448265104,-2.75495132787553,0,0.015,1
"FBN2",0.0824939448265104,-2.66902444565623,0,0.015,1
"SLC16A10",0.0824939448265104,-2.43980893871549,0,0.015,1
"TRBV7-6",0.0824939448265104,-5.03106898112214,0,0.015,1
"FIBCD1",0.0824939448265104,-2.31997405782154,0,0.015,1
"RP11-727F15.9",0.0824939448265104,-2.60371518303203,0,0.015,1
"PVRL1",0.0824939448265104,-2.25972485093802,0,0.015,1
"NEBL",0.0824939448265104,-2.51608148636026,0,0.015,1
"RET",0.0824939448265104,-1.73332233689287,0,0.015,1
"TSPAN15",0.0824939448265104,-2.49954243886269,0,0.015,1
"SFTPD",0.0824939448265104,-2.1455898708041,0,0.015,1
"OLR1",0.0824939448265104,-1.84907686967819,0,0.015,1
"RPH3A",0.0824939448265104,-2.86591727315038,0,0.015,1
"FBXL16",0.0824939448265104,-2.38835503486245,0,0.015,1
"RRAD",0.0824939448265104,-3.04460803892977,0,0.015,1
"SLC5A10",0.0824939448265104,-1.87534117645613,0,0.015,1
"KCNJ2",0.0824939448265104,-2.40986543775764,0,0.015,1
"RP11-973H7.1",0.0824939448265104,-2.68516115951628,0,0.015,1
"TTC39C-AS1",0.0824939448265104,-2.77342417082478,0,0.015,1
"CABLES2",0.0824939448265104,-2.33589341562581,0,0.015,1
"NPTXR",0.0824939448265104,-2.86966198091667,0,0.015,1
"APOBEC3H",0.0824939448265104,-2.79796293170757,0,0.015,1
"GEN1",0.0825922705332677,0.901552879026963,0.05,0.027,1
"SMIM4",0.0828247976593647,-0.768643093854167,0.07,0.111,1
"EXOSC9",0.0828627688694832,-0.386964558220722,0.101,0.151,1
"EED",0.0828728699303116,0.696892029790318,0.121,0.084,1
"GNPTG",0.0828995843642718,-0.251275877125184,0.221,0.296,1
"TACO1",0.0829241997962466,-0.574541522969481,0.04,0.076,1
"WAC-AS1",0.083155165891631,-0.222764736392487,0.161,0.227,1
"BMF",0.0831729100261546,0.964801289549181,0.055,0.031,1
"COA5",0.0832271383496367,-0.269957213341169,0.151,0.211,1
"CRTC3",0.0832361561615246,0.350103096414952,0.231,0.181,1
"NOA1",0.083250131887539,0.576906058972298,0.196,0.154,1
"TRAPPC6A",0.08325588373345,-0.336765302553333,0.206,0.271,1
"SLC30A6",0.0832559160114015,0.867748385236903,0.07,0.042,1
"MRPS28",0.0833449403419627,-0.681540802274931,0.085,0.129,1
"KIAA0100",0.0834197430510121,-0.527503005036779,0.121,0.172,1
"USO1",0.0834233427819399,-0.342434752673507,0.156,0.217,1
"LCORL",0.0835505025021631,0.918361473867093,0.095,0.063,1
"CDK5RAP2",0.0835769644998463,0.909534454970975,0.116,0.081,1
"TMEM116",0.083653093037189,-0.787649557252565,0.025,0.055,1
