"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"SPON2",8.76315518725431e-11,-5.61514598161651,0.015,0.204,2.95265750879347e-06,1.21435073976396e-11,-5.69193201820257,0.02,0.225,4.0916333825607e-07,8.76315518725431e-11,2.42870147951317e-11
"APPL1",0.00118188677985357,1.15600455864422,0.22,0.142,1,1.22834527203801e-11,1.46410221909669,0.4,0.209,4.13878655960489e-07,0.00118188677985357,2.45669054406094e-11
"NUP214",1.323939721628e-11,-2.6645752991147,0.05,0.275,4.46088249805339e-07,0.000728002624177307,-0.735565408753297,0.195,0.321,1,0.000728002624177307,2.64787944323847e-11
"KCTD12",1.33272462061589e-11,-6.78596524319691,0,0.194,4.49048233670316e-07,4.454087656461e-11,-5.30241399383967,0.005,0.194,1.50076029496797e-06,4.454087656461e-11,2.66544924121401e-11
"EEF1A1",9.29047414501795e-10,0.203434844779604,1,1,3.13033235842235e-05,1.3911011609143e-11,0.249972421940353,1,1,4.68717625158463e-07,9.29047414501795e-10,2.78220232180924e-11
"PARP1",2.63545494407747e-11,1.30274067775947,0.47,0.278,8.87990188857461e-07,1.41135286470102e-11,1.2146136183593,0.485,0.285,4.75541234232363e-07,2.63545494407747e-11,2.82270572938213e-11
"PARP14",7.4440562587803e-06,1.08301409341183,0.28,0.162,0.250820031583343,1.52211069384638e-11,1.2183765301586,0.41,0.203,5.12859977184598e-07,7.4440562587803e-06,3.04422138766958e-11
"H2AFY",2.64047043642783e-09,-1.01879131035852,0.275,0.527,8.89680108849994e-05,1.52841968435697e-11,-1.20816437115053,0.28,0.536,5.14985728447236e-07,2.64047043642783e-09,3.05683936869056e-11
"CD300C",2.41302526425724e-07,-3.75802672308741,0.005,0.131,0.00813044732538834,1.5342762664842e-11,-6.30846317526403,0,0.193,5.16959045229186e-07,2.41302526425724e-07,3.06855253294486e-11
"RPL10",4.92825204860015e-09,0.193584963229839,1,1,0.000166052524525533,1.55190929218658e-11,0.248645577577385,1,0.999,5.22900316909345e-07,4.92825204860015e-09,3.10381858434906e-11
"ODF3B",0.000523453822304832,-1.17620350455539,0.065,0.163,1,1.55781704460572e-11,-2.67521441281926,0.08,0.305,5.24890875009451e-07,0.000523453822304832,3.11563408918716e-11
"WARS",1.57996807259091e-11,-3.66846560949063,0.025,0.233,5.3235444237878e-07,1.14854574906495e-05,-1.50043945420079,0.21,0.343,0.386991004689944,1.14854574906495e-05,3.15993614515685e-11
"FBXL5",1.5896378613078e-11,-1.91198446384766,0.09,0.329,5.3561258098905e-07,0.00226307168213367,-0.56651780835874,0.275,0.398,1,0.00226307168213367,3.17927572259033e-11
