"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"CFAP36",0.173543459845121,-1.56052393414618,0.031,0.125,1,0.638539611593289,0.192921206465617,0.09,0.105,1,0.638539611593289,0.316969587235227
"NIFK-AS1",0.173543459845121,-1.91028102745791,0.031,0.125,1,0.970155199609193,0.102026948732281,0.055,0.055,1,0.970155199609193,0.316969587235227
"TOMM70A",0.173543459845121,-1.57750406160096,0.031,0.125,1,0.315575501192895,-0.228644838591412,0.101,0.129,1,0.315575501192895,0.316969587235227
"GTPBP8",0.173543459845121,-1.52813628578078,0.031,0.125,1,0.211369843082493,-0.207992415505339,0.07,0.101,1,0.211369843082493,0.316969587235227
"NCK1-AS1",0.173543459845121,-1.59395281521644,0.031,0.125,1,0.623408863234348,-0.463691913767605,0.03,0.037,1,0.623408863234348,0.316969587235227
"CEP162",0.173543459845121,-1.57709692016002,0.031,0.125,1,0.658025805730932,0.710581548856872,0.045,0.039,1,0.658025805730932,0.316969587235227
"DPY19L4",0.173543459845121,-1.91290798703594,0.031,0.125,1,0.256812620145314,-0.704111629062573,0.02,0.036,1,0.256812620145314,0.316969587235227
"RECK",0.173543459845121,-1.93092886269659,0.031,0.125,1,0.889416228421051,-0.548386297279341,0.065,0.068,1,0.889416228421051,0.316969587235227
"INIP",0.173543459845121,-1.59594440451187,0.031,0.125,1,0.490460690214044,-0.185126042415084,0.095,0.114,1,0.490460690214044,0.316969587235227
"CLP1",0.173543459845121,-1.84710921991691,0.031,0.125,1,0.55477081252728,-0.137631731752657,0.045,0.036,1,0.55477081252728,0.316969587235227
"ACSL5",0.173543459845121,-2.04287331830964,0.031,0.125,1,0.655381624683281,0.150837068461222,0.166,0.158,1,0.655381624683281,0.316969587235227
