"","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","max_pval","minimump_p_val"
"METTL13",0.172148867948618,-1.48594285355492,0.036,0.091,1,0.0551064871563216,1.13837855334705,0.094,0.057,1,0.172148867948618,0.107176249385933
"VDAC1",0.223971912507726,0.486717899640497,0.467,0.455,1,0.055132443700213,0.631514112967312,0.345,0.327,1,0.223971912507726,0.107225301052069
"FBXL17",0.0551395226324972,-0.780893766869865,0.108,0.242,1,0.862816299108279,0.503481509148085,0.047,0.052,1,0.862816299108279,0.107238678308855
"MPZ",0.374008425904105,0.962833105063202,0.024,0,1,0.0552236320556089,2.89044156246433,0.023,0.008,1,0.374008425904105,0.107397614573805
"DPY19L1",0.664059167547933,-0.448816947486166,0.018,0.03,1,0.0552236320556089,2.36927013287469,0.023,0.008,1,0.664059167547933,0.107397614573805
"AGMAT",0.0742992335630541,-1.71658250794852,0.012,0.061,1,0.0552653651520366,-2.16494336240527,0.006,0.032,1,0.0742992335630541,0.107476469718685
"PBX2",0.598068186942443,0.708167863341576,0.114,0.091,1,0.055294481012361,-0.252043234775308,0.07,0.126,1,0.598068186942443,0.107531482394296
"PCK2",0.473716601912376,1.45735203706614,0.06,0.03,1,0.0553210376189281,-0.545347558333507,0.029,0.069,1,0.473716601912376,0.107581658034621
"ACBD3",0.795278425270018,0.188870130537053,0.072,0.091,1,0.0553744651294851,-0.716133681960076,0.041,0.085,1,0.795278425270018,0.107682598870594
"ACTA2",0.272609196755452,1.88631530082992,0.036,0,1,0.0553994882512127,2.37990534446212,0.023,0.008,1,0.272609196755452,0.107729873203929
"USE1",0.854545030371996,0.470113582139409,0.126,0.121,1,0.0554473132127086,-0.268135672845676,0.094,0.157,1,0.854545030371996,0.107820221882909
"LTB4R",0.414112576580699,-0.831545745692591,0.03,0.061,1,0.0554602544773573,1.13026331714371,0.105,0.068,1,0.414112576580699,0.107844669128021
"POM121C",0.504196923126766,0.64041309286502,0.263,0.242,1,0.0554675343211748,1.0956437114777,0.094,0.057,1,0.504196923126766,0.107858421278679
"ERF",0.207500204833218,-1.54199346519517,0.006,0.03,1,0.0554764384442486,-2.17379910386172,0.006,0.032,1,0.207500204833218,0.107875241666039
"CMTR2",0.248110838628385,1.03737125040585,0.168,0.091,1,0.0555200508963296,1.04734978868767,0.117,0.078,1,0.248110838628385,0.107957625741128
"CASP9",0.0750430840576274,2.92151839036481,0.09,0,1,0.0555763618881214,1.38681346357541,0.053,0.026,1,0.0750430840576274,0.108063991775523
"CTPS1",0.611989747605884,0.819885208918239,0.084,0.061,1,0.0555763618881214,1.37033529037817,0.053,0.026,1,0.611989747605884,0.108063991775523
"SHARPIN",0.686041710322566,0.53938845227358,0.269,0.273,1,0.0555883153464566,0.740869163133599,0.228,0.188,1,0.686041710322566,0.108086569889856
"CD58",0.055650940462066,1.6145051334123,0.234,0.091,1,0.879892053578027,0.446762196788512,0.117,0.13,1,0.879892053578027,0.10820485374982
"DPP7",0.193128004996075,0.498585959364966,0.449,0.394,1,0.0557261834294412,0.623833787596764,0.368,0.361,1,0.193128004996075,0.108346959339271
"PPP4R3A",0.165511789626932,-0.604637898892686,0.222,0.364,1,0.0557519405800434,-0.412499767068978,0.14,0.215,1,0.165511789626932,0.108395602281646
"SUV39H2",0.0742992335630541,-1.74115724686227,0.012,0.061,1,0.0557526008588717,2.03955872122149,0.023,0.008,1,0.0742992335630541,0.108396849215215
"SUPT16H",0.359586043949341,0.558369456941585,0.228,0.152,1,0.0557631726255142,0.822156605730242,0.228,0.189,1,0.359586043949341,0.108416813829766
"COMTD1",0.341001769904235,-0.248161690084381,0.15,0.242,1,0.055763258953052,1.45411610301299,0.105,0.069,1,0.341001769904235,0.108416976857039
"EIF4EBP2",0.157541679219737,1.11627041349732,0.317,0.242,1,0.0558686675645724,0.878306511827264,0.222,0.185,1,0.157541679219737,0.108616027113704
"PRKX",0.0558911973772178,-0.671385744697699,0.281,0.455,1,0.896815816288086,0.622342284912155,0.111,0.115,1,0.896815816288086,0.108658568810177
"ZNF528",0.551032323078792,-0.26748730446245,0.036,0.061,1,0.0560617630558718,1.83623392874302,0.041,0.018,1,0.551032323078792,0.108980604834811
"ABCE1",0.568590274413751,-0.11015436668917,0.132,0.182,1,0.0560678992793419,-0.26787014425664,0.099,0.163,1,0.568590274413751,0.108992189229085
"CINP",0.624226978437534,-0.120454817186064,0.114,0.152,1,0.0561969280696281,1.20953680869752,0.135,0.094,1,0.624226978437534,0.109235761414793
"NADK2",0.443676090325479,0.49059975229981,0.018,0,1,0.0562442981160049,1.78682084487286,0.041,0.018,1,0.443676090325479,0.109325175161448
"YME1L1",0.113343963929419,-0.423342582347234,0.455,0.636,1,0.0563991968937605,-0.195525050768466,0.17,0.259,1,0.113343963929419,0.10961752437726
